disease_id	DduftC	DgaG	D<soD	Dso>D
Q1749931	0	0	3	1
Q1750104	0	0	0	1
Q1750471	0	1	0	1
Q1750884	0	0	1	1
Q175180	0	0	2	1
Q1752571	1	0	2	1
Q1752891	0	0	0	2
Q1753778	0	0	0	1
Q1754226	0	0	2	1
Q1754830	0	0	0	1
Q1755122	0	0	25	1
Q1755457	0	0	0	1
Q1755487	0	0	2	1
Q1755537	0	0	0	1
Q1755568	1	0	0	1
Q1756040	0	0	1	1
Q1756640	0	0	0	1
Q1756898	0	0	0	1
Q1757359	0	0	0	1
Q1757427	0	0	1	1
Q1757666	0	0	0	1
Q1757915	0	0	0	1
Q175827	0	0	14	1
Q1758283	0	0	0	1
Q17583	0	0	0	1
Q1758393	1	0	19	2
Q1759389	0	1	0	2
Q1759514	0	0	0	3
Q1759600	0	1	0	3
Q1760202	0	0	1	1
Q1760461	1	0	0	1
Q1760607	0	0	0	1
Q17627190	0	0	1	0
Q17633631	0	0	0	1
Q17639642	0	0	0	1
Q1764657	0	0	1	0
Q176741	0	0	0	1
Q1770836	0	0	0	1
Q1771331	0	0	1	0
Q177190	1	0	14	1
Q177254	0	0	1	1
Q1774751	0	0	0	1
Q1776603	0	0	0	1
Q1777118	0	0	0	1
Q177755	0	0	18	1
Q177809	0	0	0	1
Q1778287	0	0	0	1
Q177878	0	0	0	1
Q177895	0	6	2	1
Q1778968	0	0	2	1
Q1779300	0	0	25	1
Q1779987	0	0	0	1
Q178059	0	0	5	1
Q1781802	0	0	3	1
Q178190	7	0	1	2
Q178194	4	3	0	1
Q1782574	0	0	0	1
Q1783300	0	0	0	1
Q1783645	0	0	0	1
Q1783924	10	0	4	1
Q178436	10	0	3	2
Q1786496	0	0	6	3
Q1786513	0	0	2	1
Q1786851	0	0	0	1
Q1786953	0	0	4	1
Q1787020	0	0	0	1
Q1788314	0	0	2	2
Q1788847	0	0	0	1
Q1789076	0	0	0	1
Q1790005	0	0	0	1
Q1790134	0	0	0	1
Q1790371	0	0	0	1
Q1790424	0	0	6	2
Q179399	3	0	1	1
Q179630	0	0	114	0
Q1798016	0	0	0	1
Q1799146	0	0	1	1
Q179945	1	13	5	1
Q179951	0	0	14	2
Q180152	3	13	0	1
Q18018153	0	0	0	1
Q18018676	0	0	0	2
Q180266	0	0	0	1
Q18027624	0	0	0	2
Q180375	0	0	0	1
Q180614	9	11	15	2
Q180664	0	5	4	1
Q1807280	0	0	0	1
Q1807522	0	0	6	1
Q180913	3	5	0	1
Q1811132	0	0	17	1
Q181257	17	47	5	2
Q1813737	0	0	2	1
Q1813747	0	0	0	1
Q181391	0	1	4	2
Q1815019	0	1	0	1
Q1815985	0	0	1	2
Q1816041	0	0	1	1
Q181754	0	0	1	1
Q181923	15	41	0	1
Q182005	0	0	0	1
Q18211153	0	0	1	1
Q18211693	0	0	7	1
Q18211695	0	0	0	1
Q18211751	0	0	6	1
Q182155	4	0	1	2
Q1821559	0	0	8	1
Q1823656	0	0	0	1
Q182413	0	5	4	1
Q1826391	0	0	0	1
Q1827425	0	0	19	3
Q183098	0	0	0	1
Q183130	1	0	10	1
Q18324719	0	0	0	1
Q183344	17	0	6	1
Q183392	2	0	4	1
Q18345704	0	0	0	1
Q18353735	0	0	0	1
Q183548	0	0	0	1
Q18387306	0	0	0	1
Q18394840	0	0	0	1
Q184084	1	0	0	1
Q18412454	0	0	0	1
Q184559	16	0	8	1
Q184674	4	9	1	2
Q1848471	0	0	0	1
Q185034	1	2	1	2
Q185137	0	0	3	2
Q18551037	0	0	0	2
Q18552029	0	0	2	1
Q18553032	0	0	6	1
Q18553170	0	0	0	1
Q18553191	0	0	0	1
Q18553197	0	0	0	1
Q18553198	0	0	0	1
Q18553199	0	0	0	1
Q18553200	0	0	0	1
Q18553201	0	0	0	1
Q18553202	0	0	0	1
Q18553203	0	0	0	1
Q18553207	0	0	3	1
Q18553208	0	0	0	1
Q18553209	0	0	0	1
Q18553211	0	0	0	1
Q18553212	6	0	5	2
Q18553213	0	0	4	1
Q18553214	0	0	2	1
Q18553215	0	0	0	1
Q18553216	0	0	0	1
Q18553217	0	0	0	1
