compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
9	21	0.0633267	7.99515e-05	1	14
9	22	0.0662444	5.7539e-05	2	28
9	24	0.0720579	8.47675e-05	1	14
9	25	0.075067	8.64404e-05	2	14
9	26	0.0779905	8.79824e-05	0	14
9	27	0.0807949	6.30159e-05	1	28
9	34	0.100636	6.95619e-05	4	28
9	38	0.112121	0.000103365	5	14
9	39	0.114672	0.000104823	1	14
9	50	0.144905	0.000115649	3	14
9	55	0.158131	0.000119906	1	14
9	57	0.163492	0.000121716	2	14
